Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
QS1P1,Pad,P1,GFZ,Channel:,j103,Actual,Channel:,1,Trace,Length:,584.467,Time,estimate:,3.015999583
QS1P1,Pad,P1,GFZ,Channel:,j102,Actual,Channel:,2,Trace,Length:,406.252,Time,estimate:,2.096364487
QS1P1,Pad,P1,GFZ,Channel:,j101,Actual,Channel:,3,Trace,Length:,343.007,Time,estimate:,1.77000407
QS1P1,Pad,P1,GFZ,Channel:,j100,Actual,Channel:,4,Trace,Length:,158.837,Time,estimate:,0.819639647
QS1P1,Pad,P1,GFZ,Channel:,j99,Actual,Channel:,5,Trace,Length:,596.897,Time,estimate:,3.08014157
QS1P1,Pad,P1,GFZ,Channel:,j98,Actual,Channel:,6,Trace,Length:,413.652,Time,estimate:,2.134550384
QS1P1,Pad,P1,GFZ,Channel:,j97,Actual,Channel:,7,Trace,Length:,332.542,Time,estimate:,1.716001987
QS1P1,Pad,P1,GFZ,Channel:,j96,Actual,Channel:,8,Trace,Length:,157.877,Time,estimate:,0.814685801
QS1P1,Pad,P1,GFZ,Channel:,j95,Actual,Channel:,9,Trace,Length:,593.222,Time,estimate:,3.061177628
QS1P1,Pad,P1,GFZ,Channel:,j94,Actual,Channel:,10,Trace,Length:,423.752,Time,estimate:,2.186668974
QS1P1,Pad,P1,GFZ,Channel:,j93,Actual,Channel:,11,Trace,Length:,354.012,Time,estimate:,1.826792692
QS1P1,Pad,P1,GFZ,Channel:,j92,Actual,Channel:,12,Trace,Length:,192.577,Time,estimate:,0.993746699
QS1P1,Pad,P1,GFZ,Channel:,j91,Actual,Channel:,13,Trace,Length:,614.152,Time,estimate:,3.169181794
QS1P1,Pad,P1,GFZ,Channel:,j90,Actual,Channel:,14,Trace,Length:,451.802,Time,estimate:,2.331414166
QS1P1,Pad,P1,GFZ,Channel:,j89,Actual,Channel:,15,Trace,Length:,382.067,Time,estimate:,1.971563686
QS1P1,Pad,P1,GFZ,Channel:,j88,Actual,Channel:,16,Trace,Length:,227.272,Time,estimate:,1.172781795
QS1P1,Pad,P1,GFZ,Channel:,j87,Actual,Channel:,17,Trace,Length:,635.077,Time,estimate:,3.27716016
QS1P1,Pad,P1,GFZ,Channel:,j86,Actual,Channel:,18,Trace,Length:,479.852,Time,estimate:,2.476159359
QS1P1,Pad,P1,GFZ,Channel:,j85,Actual,Channel:,19,Trace,Length:,410.117,Time,estimate:,2.116308878
QS1P1,Pad,P1,GFZ,Channel:,j84,Actual,Channel:,20,Trace,Length:,261.972,Time,estimate:,1.351842692
QS1P1,Pad,P1,GFZ,Channel:,j83,Actual,Channel:,21,Trace,Length:,656.007,Time,estimate:,3.385164327
QS1P1,Pad,P1,GFZ,Channel:,j82,Actual,Channel:,22,Trace,Length:,507.907,Time,estimate:,2.620930352
QS1P1,Pad,P1,GFZ,Channel:,j81,Actual,Channel:,23,Trace,Length:,438.167,Time,estimate:,2.26105407
QS1P1,Pad,P1,GFZ,Channel:,j80,Actual,Channel:,24,Trace,Length:,296.672,Time,estimate:,1.53090359
QS1P1,Pad,P1,GFZ,Channel:,j79,Actual,Channel:,25,Trace,Length:,676.932,Time,estimate:,3.493142692
QS1P1,Pad,P1,GFZ,Channel:,j78,Actual,Channel:,26,Trace,Length:,535.957,Time,estimate:,2.765675545
QS1P1,Pad,P1,GFZ,Channel:,j77,Actual,Channel:,27,Trace,Length:,466.222,Time,estimate:,2.405825064
QS1P1,Pad,P1,GFZ,Channel:,j76,Actual,Channel:,28,Trace,Length:,331.367,Time,estimate:,1.709938686
QS1P1,Pad,P1,GFZ,Channel:,j75,Actual,Channel:,29,Trace,Length:,697.862,Time,estimate:,3.601146859
QS1P1,Pad,P1,GFZ,Channel:,j74,Actual,Channel:,30,Trace,Length:,564.007,Time,estimate:,2.910420737
QS1P1,Pad,P1,GFZ,Channel:,j73,Actual,Channel:,31,Trace,Length:,494.272,Time,estimate:,2.550570256
QS1P1,Pad,P1,GFZ,Channel:,j72,Actual,Channel:,32,Trace,Length:,366.067,Time,estimate:,1.888999583
QS1P1,Pad,P1,GFZ,Channel:,j71,Actual,Channel:,33,Trace,Length:,718.787,Time,estimate:,3.709125224
QS1P1,Pad,P1,GFZ,Channel:,j70,Actual,Channel:,34,Trace,Length:,592.062,Time,estimate:,3.05519173
QS1P1,Pad,P1,GFZ,Channel:,j69,Actual,Channel:,35,Trace,Length:,522.322,Time,estimate:,2.695315448
QS1P1,Pad,P1,GFZ,Channel:,j68,Actual,Channel:,36,Trace,Length:,400.762,Time,estimate:,2.068034679
QS1P1,Pad,P1,GFZ,Channel:,j67,Actual,Channel:,37,Trace,Length:,739.717,Time,estimate:,3.817129391
QS1P1,Pad,P1,GFZ,Channel:,j66,Actual,Channel:,38,Trace,Length:,620.112,Time,estimate:,3.199936923
