Pad adapter board channel mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,QS1P,,,,,QS1C,,,,,QS2P,,,,,QS2C,,,,,QS3P,,,,,QS3C,,,,,QL1P,,,,,QL1C,,,,,QL2P,,,,,QL2C,,,,,QL3P,,,,,QL3C,,,,
,,GFZ Connector,GFZ Channel,,Pad75R ,Pad75L ,Pad75L ,Pad75R ,,Pad75R ,Pad75L ,Pad75L ,Pad75R ,,Pad75R ,Pad75L ,Pad75L ,Pad75R ,,Pad75R ,Pad75L ,Pad75L ,Pad75R ,,Pad42L ,Pad42R ,Pad42R ,Pad42L ,,Pad42L ,Pad42R ,Pad42R ,Pad42L ,,Pad112R,Pad112L,Pad112L,Pad112R,,Pad112R,Pad112L,Pad112L,Pad112R,,Pad75R ,Pad75L ,Pad75L ,Pad75R ,,Pad75R ,Pad75L ,Pad75L ,Pad75R ,,Pad70R ,Pad70L ,Pad70L ,Pad70R ,,Pad70R ,Pad70L ,Pad70L ,Pad70R ,
,,,,,QS1P1,QS1P2,QS1P3,QS1P4,,QS1C4,QS1C3,QS1C2,QS1C1,,QS2P1,QS2P2,QS2P3,QS2P4,,QS2C4,QS2C3,QS2C2,QS2C1,,QS3P1,QS3P2,QS3P3,QS3P4,,QS3C4,QS3C3,QS3C2,QS3C1,,QL1P1,QL1P2,QL1P3,QL1P4,,QL1C4,QL1C3,QL1C2,QL1C1,,QL2P1,QL2P2,QL2P3,QL2P4,,QL2C4,QL2C3,QL2C2,QL2C1,,QL3P1,QL3P2,QL3P3,QL3P4,,QL3C4,QL3C3,QL3C2,QL3C1,
,,# of pads,,,68,68,51,51,,68,68,72,72,,30,30,45,45,,48,48,45,45,,24,24,39,39,,39,39,42,42,,102,102,112,112,,96,96,96,96,,56,56,75,75,,56,56,56,56,,60,60,70,70,,52,52,56,56,
,,P1,i0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,58,,,,58,58,,
,,P1,i1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,57,57,57,,57,57,57,57,
,,P1,i2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,56,56,56,,56,56,56,56,
,,P1,i3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,55,55,55,,55,55,55,55,
,,P1,i4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,54,54,54,,54,54,54,54,
,,P1,i5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,53,53,53,,53,53,53,53,
,,P1,i6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,52,52,52,,52,52,52,52,
