Channel,Perimeter,Length,,,,
1,2660.52,1316.01,,min,54.75,mm
2,2286.22,1120.41,,max,1316.01,mm
3,1921.32,937.96,,,,
4,1651.93,803.265,,,,
5,1387.18,670.89,,,,
6,999.74,477.17,,,,
7,563.61,267.555,,,,
8,2611,1291.25,,,,
9,2254.66,1104.63,,,,
10,1868.31,911.455,,,,
11,1596.46,775.53,,,,
12,1320.3,637.45,,,,
13,954.98,454.79,,,,
14,527.95,249.725,,,,
15,2503.49,1237.495,,,,
16,2161.13,1057.865,,,,
17,1789.87,872.235,,,,
18,1524.94,739.77,,,,
19,1256,605.3,,,,
20,904.27,429.435,,,,
21,492.3,231.9,,,,
22,2395.98,1183.74,,,,
23,2067.61,1011.105,,,,
24,1711.44,833.02,,,,
25,1453.42,704.01,,,,
26,1191.7,573.15,,,,
27,853.56,404.08,,,,
28,456.64,214.07,,,,
29,2288.46,1129.98,,,,
30,1974.09,964.345,,,,
31,1633.01,793.805,,,,
32,1381.9,668.25,,,,
33,1127.4,541,,,,
34,802.85,378.725,,,,
35,420.99,196.245,,,,
36,2180.95,1076.225,,,,
37,1880.57,917.585,,,,
38,1554.58,754.59,,,,
39,1310.38,632.49,,,,
40,1063.11,508.855,,,,
41,752.14,353.37,,,,
42,385.33,178.415,,,,
43,2073.44,1022.47,,,,
44,1787.04,870.82,,,,
45,1476.15,715.375,,,,
46,1238.87,596.735,,,,
47,998.81,476.705,,,,
48,701.43,328.015,,,,
49,349.68,160.59,,,,
50,1965.92,968.71,,,,
51,1693.52,824.06,,,,
52,1397.72,676.16,,,,
53,1167.35,560.975,,,,
54,934.51,444.555,,,,
55,650.72,302.66,,,,
56,314.02,142.76,,,,
57,1858.41,914.955,,,,
58,1600,777.3,,,,
59,1319.29,636.945,,,,
60,1095.83,525.215,,,,
61,870.21,412.405,,,,
62,600.01,277.305,,,,
63,278.37,124.935,,,,
64,1750.9,861.2,,,,
65,1506.48,730.54,,,,
66,1240.85,597.725,,,,
67,1024.31,489.455,,,,
68,805.91,380.255,,,,
69,549.3,251.95,,,,
70,242.71,107.105,,,,
71,1643.38,807.44,,,,
72,1412.95,683.775,,,,
73,1162.42,558.51,,,,
74,952.79,453.695,,,,
75,741.61,348.105,,,,
76,498.59,226.595,,,,
77,207.05,89.275,,,,
78,1535.87,753.685,,,,
79,1319.43,637.015,,,,
80,1083.99,519.295,,,,
81,881.27,417.935,,,,
82,677.31,315.955,,,,
83,447.88,201.24,,,,
84,171.4,71.45,,,,
85,1408.27,689.885,,,,
86,1205.95,580.275,,,,
87,989.11,471.855,,,,
88,794.43,374.515,,,,
89,599.63,277.115,,,,
90,386.61,170.605,,,,
91,138,54.75,,,,
92,1353.66,662.58,,,,
93,1165.09,559.845,,,,
94,964.29,459.445,,,,
95,776.62,365.61,,,,
96,589.44,272.02,,,,
97,386.29,170.445,,,,
98,170.31,70.905,,,,
99,1310.39,640.945,,,,
100,1136.75,545.675,,,,
101,949.71,452.155,,,,
102,769.23,361.915,,,,
103,588.99,271.795,,,,
104,400.77,177.685,,,,
105,198.9,85.2,,,,
106,1267.12,619.31,,,,
107,1108.42,531.51,,,,
108,935.13,444.865,,,,
109,761.84,358.22,,,,
110,588.54,271.57,,,,
111,415.25,184.925,,,,
112,227.48,99.49,,,,
