Channel,Area,Length,,,,,,
1,873.123,2266.786667,,min,373.46,mm,,1
2,720.306,1757.396667,,max,2266.786667,mm,,1
3,609.663,1388.586667,,,,,,0
4,447.824,849.1233333,,,,,,0
5,855.548,2208.203333,,,,,,1
6,705.744,1708.856667,,,,,,1
7,595.1,1340.043333,,,,,,0
8,436.358,810.9033333,,,,,,0
9,837.974,2149.623333,,,,,,1
10,691.181,1660.313333,,,,,,1
11,580.538,1291.503333,,,,,,0
12,424.892,772.6833333,,,,,,0
13,820.399,2091.04,,,,,,1
14,676.619,1611.773333,,,,,,1
15,565.976,1242.963333,,,,,,0
16,413.426,734.4633333,,,,,,0
17,802.824,2032.456667,,,,,,1
18,662.057,1563.233333,,,,,,1
19,551.414,1194.423333,,,,,,0
20,401.96,696.2433333,,,,,,0
21,785.25,1973.876667,,,,,,1
22,647.495,1514.693333,,,,,,1
23,536.851,1145.88,,,,,,0
24,390.494,658.0233333,,,,,,0
25,767.675,1915.293333,,,,,,1
26,632.932,1466.15,,,,,,0
27,522.289,1097.34,,,,,,0
28,379.028,619.8033333,,,,,,0
29,750.1,1856.71,,,,,,1
30,618.37,1417.61,,,,,,0
31,507.727,1048.8,,,,,,0
32,367.562,581.5833333,,,,,,0
33,732.526,1798.13,,,,,,1
34,603.808,1369.07,,,,,,0
35,493.165,1000.26,,,,,,0
36,356.096,543.3633333,,,,,,0
37,714.951,1739.546667,,,,,,1
38,589.246,1320.53,,,,,,0
39,478.603,951.72,,,,,,0
40,344.63,505.1433333,,,,,,0
41,697.376,1680.963333,,,,,,1
42,574.684,1271.99,,,,,,0
43,464.04,903.1766667,,,,,,0
44,333.164,466.9233333,,,,,,0
45,679.802,1622.383333,,,,,,1
46,560.121,1223.446667,,,,,,0
47,449.478,854.6366667,,,,,,0
48,321.698,428.7033333,,,,,,0
49,662.227,1563.8,,,,,,1
50,545.559,1174.906667,,,,,,0
51,434.916,806.0966667,,,,,,0
52,310.232,390.4833333,,,,,,0
53,646.549,1511.54,,,,,,1
54,532.849,1132.54,,,,,,0
55,422.196,763.6966667,,,,,,0
56,305.125,373.46,,,,,,0
57,643.953,1502.886667,,,,,,1
58,533.248,1133.87,,,,,,0
59,422.542,764.85,,,,,,0
60,308.609,385.0733333,,,,,,0
