Channel,Perimeter,Length [mm],,,,
1,1223.47,584.467,,min,157.877,mm
2,867.04,406.252,,max,886.207,mm
3,740.55,343.007,,,,
4,372.21,158.837,,,,
5,1248.33,596.897,,,,
6,881.84,413.652,,,,
7,719.62,332.542,,,,
8,370.29,157.877,,,,
9,1240.98,593.222,,,,
10,902.04,423.752,,,,
11,762.56,354.012,,,,
12,439.69,192.577,,,,
13,1282.84,614.152,,,,
14,958.14,451.802,,,,
15,818.67,382.067,,,,
16,509.08,227.272,,,,
17,1324.69,635.077,,,,
18,1014.24,479.852,,,,
19,874.77,410.117,,,,
20,578.48,261.972,,,,
21,1366.55,656.007,,,,
22,1070.35,507.907,,,,
23,930.87,438.167,,,,
24,647.88,296.672,,,,
25,1408.4,676.932,,,,
26,1126.45,535.957,,,,
27,986.98,466.222,,,,
28,717.27,331.367,,,,
29,1450.26,697.862,,,,
30,1182.55,564.007,,,,
31,1043.08,494.272,,,,
32,786.67,366.067,,,,
33,1492.11,718.787,,,,
34,1238.66,592.062,,,,
35,1099.18,522.322,,,,
36,856.06,400.762,,,,
37,1533.97,739.717,,,,
38,1294.76,620.112,,,,
39,1155.29,550.377,,,,
40,925.46,435.462,,,,
41,1575.82,760.642,,,,
42,1350.86,648.162,,,,
43,1211.39,578.427,,,,
44,994.86,470.162,,,,
45,1617.68,781.572,,,,
46,1406.97,676.217,,,,
47,1267.49,606.477,,,,
48,1064.25,504.857,,,,
49,1659.53,802.497,,,,
50,1463.07,704.267,,,,
51,1323.59,634.527,,,,
52,1133.65,539.557,,,,
53,1701.39,823.427,,,,
54,1519.17,732.317,,,,
55,1379.7,662.582,,,,
56,1203.05,574.257,,,,
57,1743.24,844.352,,,,
58,1575.27,760.367,,,,
59,1435.8,690.632,,,,
60,1272.44,608.952,,,,
61,1785.1,865.282,,,,
62,1631.38,788.422,,,,
63,1491.9,718.682,,,,
64,1341.84,643.652,,,,
65,1826.95,886.207,,,,
66,1687.48,816.472,,,,
67,1548.01,746.737,,,,
68,1411.24,678.352,,,,
