Channel,Perimeter,Length,,,,
1,1032.93,495.265,,min,248.775,mm
2,796.74,377.17,,max,1073.145,mm
3,539.95,248.775,,,,
4,1060.63,509.115,,,,
5,811.35,384.475,,,,
6,571.6,264.6,,,,
7,1117.06,537.33,,,,
8,878.37,417.985,,,,
9,642.97,300.285,,,,
10,1190.5,574.05,,,,
11,952.94,455.27,,,,
12,718.21,337.905,,,,
13,1266.17,611.885,,,,
14,1028.91,493.255,,,,
15,794.4,376,,,,
16,1342.51,650.055,,,,
17,1105.37,531.485,,,,
18,870.95,414.275,,,,
19,1419.14,688.37,,,,
20,1182.05,569.825,,,,
21,947.68,452.64,,,,
22,1495.91,726.755,,,,
23,1258.86,608.23,,,,
24,1024.51,491.055,,,,
25,1572.77,765.185,,,,
26,1335.74,646.67,,,,
27,1101.41,529.505,,,,
28,1649.68,803.64,,,,
29,1412.66,685.13,,,,
30,1178.35,567.975,,,,
31,1726.63,842.115,,,,
32,1489.62,723.61,,,,
33,1255.32,606.46,,,,
34,1803.61,880.605,,,,
35,1566.6,762.1,,,,
36,1332.31,644.955,,,,
37,1880.6,919.1,,,,
38,1643.6,800.6,,,,
39,1409.31,683.455,,,,
40,1957.61,957.605,,,,
41,1720.62,839.11,,,,
42,1486.33,721.965,,,,
43,2034.63,996.115,,,,
44,1797.64,877.62,,,,
45,1563.35,760.475,,,,
46,2111.66,1034.63,,,,
47,1874.67,916.135,,,,
48,1640.39,798.995,,,,
49,2188.69,1073.145,,,,
50,1951.71,954.655,,,,
51,1717.43,837.515,,,,
